rank,role,ensemble_name,n_models,blend_mode,temperature,oof_macro_f1,weights,max_weight,min_weight,submission_fp,min_div_to_previous,oof_file,submission_file
1,exploit,exp_exploit_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p567__baseline_convnext_tiny_img288_20260328_142211-0p433,2,geom,1.05,0.9291558016591496,"{'baseline_efficientnet_b3_img288_20260328_145819': 0.567, 'baseline_convnext_tiny_img288_20260328_142211': 0.433}",0.5670273303985596,0.43297263979911804,8e2eb906dc5d78dcd3cf57554445aed0,,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\experiments\oof_predictions\ensemble\oof_exp_exploit_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p567__baseline_convnext_tiny_img288_20260328_142211-0p433_20260330_163409.csv,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\output\submissions\ensemble\submission_exp_exploit_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p567__baseline_convnext_tiny_img288_20260328_142211-0p433_20260330_163409.csv
2,balanced,exp_balanced_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p3818__baseline_efficientnet_b3_img288_20260328_213015-0p3951__baseline_convnext_tiny_img288_20260328_142211-0p2231,3,geom,1.05,0.9273846387311879,"{'baseline_efficientnet_b3_img288_20260328_145819': 0.3818, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3951, 'baseline_convnext_tiny_img288_20260328_142211': 0.2231}",0.39510825276374817,0.22309260070323944,d7c45dd5448643fd44282f4e0089fa8c,0.034653465346534656,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\experiments\oof_predictions\ensemble\oof_exp_balanced_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p3818__baseline_efficientnet_b3_img288_20260328_213015-0p3951__baseline_convnext_tiny_img288_20260328_142211-0p2231_20260330_163409.csv,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\output\submissions\ensemble\submission_exp_balanced_geom_t1p05_baseline_efficientnet_b3_img288_20260328_145819-0p3818__baseline_efficientnet_b3_img288_20260328_213015-0p3951__baseline_convnext_tiny_img288_20260328_142211-0p2231_20260330_163409.csv
3,explore,exp_explore_geom_t0p95_baseline_efficientnet_b3_img288_20260328_145819-0p2446__baseline_efficientnet_b3_img288_20260328_213015-0p294__baseline_convnext_tiny_img288_20260328_142211-0p4614,3,geom,0.95,0.9291054839901983,"{'baseline_efficientnet_b3_img288_20260328_145819': 0.2446, 'baseline_efficientnet_b3_img288_20260328_213015': 0.294, 'baseline_convnext_tiny_img288_20260328_142211': 0.4614}",0.46140819787979126,0.24456752836704254,8657d7de8ceb80413bd1429cca12d80f,0.019801980198019802,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\experiments\oof_predictions\ensemble\oof_exp_explore_geom_t0p95_baseline_efficientnet_b3_img288_20260328_145819-0p2446__baseline_efficientnet_b3_img288_20260328_213015-0p294__baseline_convnext_tiny_img288_20260328_142211-0p4614_20260330_163409.csv,c:\Users\Axioo\Documents\Fahmi\ai\ml\findit-2026\output\submissions\ensemble\submission_exp_explore_geom_t0p95_baseline_efficientnet_b3_img288_20260328_145819-0p2446__baseline_efficientnet_b3_img288_20260328_213015-0p294__baseline_convnext_tiny_img288_20260328_142211-0p4614_20260330_163409.csv
