run_combo,n_models,blend_mode,temperature,weights,oof_macro_f1,submission_fp
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5044, 'baseline_convnext_tiny_img320_20260328_233846': 0.2145, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2811}",0.9208537521089252,adffeb7c9427081f9d21142ea6a01120
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5044, 'baseline_convnext_tiny_img320_20260328_233846': 0.2145, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2811}",0.9208537521089252,adffeb7c9427081f9d21142ea6a01120
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.5044, 'baseline_convnext_tiny_img320_20260328_233846': 0.2145, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2811}",0.9208537521089252,adffeb7c9427081f9d21142ea6a01120
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3246, 'baseline_convnext_tiny_img320_20260328_233846': 0.256, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4195}",0.9207341555201801,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3246, 'baseline_convnext_tiny_img320_20260328_233846': 0.256, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4195}",0.9207341555201801,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3246, 'baseline_convnext_tiny_img320_20260328_233846': 0.256, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4195}",0.9207341555201801,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3495, 'baseline_convnext_tiny_img320_20260328_233846': 0.298, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3525}",0.9207284221231739,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9207284221231739,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4}",0.9207284221231739,fad3d045380706976647d6b5d9441977
